EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,7.225446462631226,0,0.0599094033241272,5.6773076,0.00043742757,0.0,-0.0037646056,2.8097584
1000.0,-71.70148073931163,1,1,8.841943979263306,1000,0.03690284490585327,5.6807456,0.0006826454,0.0,0.0011703968,0.9585874
1000.0,-71.70148073931163,0,1,10.259768009185791,1000,-0.4165903329849243,5.681623,0.0014745981,0.0,0.018276196,0.21971937
1000.0,-61.99163399299225,1,2,11.820899248123169,2000,-3.4285550117492676,5.683502,0.00052906823,0.0,0.0069051906,0.19622676
1000.0,-61.99163399299225,0,2,13.160470008850098,2000,0.06747251749038696,5.678828,0.00059538486,0.0,0.008885084,0.022636818
1000.0,-56.974016196854166,1,3,14.757773876190186,3000,-0.07125604152679443,5.6764307,0.00035757237,0.0,0.0043566297,0.05213391
1000.0,-56.974016196854166,0,3,16.136874675750732,3000,0.1974090337753296,5.671458,0.0005347033,0.0,-0.008673692,0.08512142
1000.0,-60.08406666095635,1,4,17.725698947906494,4000,0.34478986263275146,5.67479,0.0009951934,0.0,-0.0029983069,0.10310079
1000.0,-60.08406666095635,0,4,19.127125024795532,4000,-0.13471758365631104,5.670518,0.0017477663,0.0,-0.018872928,0.012959246
1000.0,-56.037696461329766,1,5,20.72308349609375,5000,-0.5818023681640625,5.66842,0.0019065124,0.0,-0.013065823,0.07869687
1000.0,-56.037696461329766,0,5,22.115453243255615,5000,0.2688118815422058,5.6664205,0.0023417468,0.0,0.0068098092,0.013820138
1000.0,-54.470321897668434,1,6,23.702520847320557,6000,-0.028393030166625977,5.6665735,0.0035210869,0.0,-0.009391462,0.1394072
1000.0,-54.470321897668434,0,6,25.08078408241272,6000,-0.5594373941421509,5.663035,0.0011035295,0.0,-0.009586265,0.07857439
1000.0,-57.146889144620175,1,7,26.660948514938354,7000,-0.855535626411438,5.6608434,0.0020667894,0.0,-0.019360712,0.104170844
1000.0,-57.146889144620175,0,7,28.011150360107422,7000,0.2853504419326782,5.6599784,0.0031913924,0.0,-0.010056355,0.054315053
1000.0,-56.01159061728761,1,8,29.564083337783813,8000,-0.4004911184310913,5.6583557,0.0024614346,0.0,-0.0068852464,0.044427533
1000.0,-56.01159061728761,0,8,30.916774034500122,8000,0.17004245519638062,5.659614,0.0025173605,0.0,-0.0044488567,0.031287994
1000.0,-55.844159032523876,1,9,32.474918603897095,9000,-0.05010557174682617,5.6569138,0.0011766724,0.0,-0.0025371944,0.07449122
1000.0,-55.844159032523876,0,9,33.856433629989624,9000,-0.3169592618942261,5.65745,0.0027502566,0.0,-0.009458408,0.032923933
1000.0,-54.550973015192106,1,10,35.41389536857605,10000,-0.17014944553375244,5.659223,0.001948273,0.0,-0.04082693,0.015859751
1000.0,-54.550973015192106,0,10,36.76779508590698,10000,-0.0289536714553833,5.653327,0.002767471,0.0,-0.019954093,0.015998283
1000.0,-51.82694609582259,1,11,38.3550009727478,11000,-0.21764051914215088,5.6534476,0.001770217,0.0,-0.0096969325,0.014018772
1000.0,-51.82694609582259,0,11,39.76179766654968,11000,-0.2269306182861328,5.65574,0.0012846506,0.0,-0.008621623,0.0061007077
1000.0,-50.76130891304421,1,12,41.34302854537964,12000,0.2633513808250427,5.650506,0.0006256589,0.0,-0.008401169,0.047238246
1000.0,-50.76130891304421,0,12,42.74181008338928,12000,0.2135288119316101,5.6466317,0.0015280137,0.0,-0.005143973,0.008352556
1000.0,-50.37358458922802,1,13,44.32371687889099,13000,0.16143029928207397,5.649292,0.0010181685,0.0,-0.010150901,0.08674623
1000.0,-50.37358458922802,0,13,45.703896284103394,13000,-0.3866739273071289,5.649421,0.002782445,0.0,0.0010841633,0.030681232
1000.0,-50.776495537414526,1,14,47.260915756225586,14000,0.1453571915626526,5.656385,0.0022226418,0.0,-0.005608968,0.025036164
1000.0,-50.776495537414526,0,14,48.601848125457764,14000,-0.07960832118988037,5.6561913,0.0019308014,0.0,-0.0026162614,0.03042275
1000.0,-52.40611680242333,1,15,50.17348575592041,15000,-0.008224964141845703,5.6554437,0.001548051,0.0,-0.0028365154,0.10260468
1000.0,-52.40611680242333,0,15,51.527334690093994,15000,0.03521460294723511,5.6553884,0.0019256137,0.0,0.0032405977,0.033269238
1000.0,-53.824285478136176,1,16,53.10784077644348,16000,-0.0009672641754150391,5.6543937,0.0027362402,0.0,-0.010230743,0.20889488
1000.0,-53.824285478136176,0,16,54.482269525527954,16000,0.10867947340011597,5.650626,0.0030928901,0.0,-0.007312583,0.019950537
1000.0,-54.18674157350413,1,17,56.062081813812256,17000,-0.4984002113342285,5.649354,0.0010885005,0.0,0.003095742,0.028400974
1000.0,-54.18674157350413,0,17,57.438530683517456,17000,0.5035484433174133,5.649352,0.002558724,0.0,0.00065933965,0.023840887
1000.0,-54.73844436662585,1,18,59.0340473651886,18000,-0.2803152799606323,5.648468,0.0016252567,0.0,-0.010698041,0.1802419
1000.0,-54.73844436662585,0,18,60.425710916519165,18000,-0.10573256015777588,5.648636,0.0020485378,0.0,-0.0062626153,0.014833694
1000.0,-53.82108861865224,1,19,62.043668031692505,19000,-0.0304415225982666,5.6494527,0.0015631713,0.0,-0.0010037582,0.045873426
1000.0,-53.82108861865224,0,19,63.410855770111084,19000,-0.25933516025543213,5.6439366,0.00094176707,0.0,0.0063254107,0.01840547
1000.0,-54.746743492124736,1,20,64.97435307502747,20000,-0.04265022277832031,5.63906,0.0026593565,0.0,-0.009257587,0.15660565
1000.0,-54.746743492124736,0,20,66.35248947143555,20000,-0.7934983968734741,5.641425,0.0026354252,0.0,-0.00999721,0.04013779
1000.0,-56.14420009342792,1,21,67.91619896888733,21000,0.48325300216674805,5.639315,0.00259659,0.0,-0.0057272525,0.05730682
1000.0,-56.14420009342792,0,21,69.27638339996338,21000,-0.03878223896026611,5.633512,0.002269298,0.0,-0.009379115,0.0044939923
1000.0,-55.47433605909243,1,22,70.84482049942017,22000,0.18972355127334595,5.6308208,0.0019182911,0.0,0.00047259728,0.1577523
1000.0,-55.47433605909243,0,22,72.19310688972473,22000,0.08401387929916382,5.63251,0.0022429908,0.0,-0.003419057,0.0212543
1000.0,-55.66787382084402,1,23,73.75223541259766,23000,0.09009778499603271,5.6335196,0.0015525469,0.0,0.02777373,0.108573705
1000.0,-55.66787382084402,0,23,75.12902402877808,23000,0.29878079891204834,5.6305976,0.000379862,0.0,0.0072151246,0.020483442
1000.0,-56.145862268950275,1,24,76.71308302879333,24000,-0.027333617210388184,5.625178,0.0019733745,0.0,-0.012381021,0.15787122
1000.0,-56.145862268950275,0,24,78.10909485816956,24000,-1.1937708854675293,5.628675,0.0027348362,0.0,-0.011014735,0.023265915
1000.0,-55.77200535229593,1,25,79.69477772712708,25000,0.126173198223114,5.6297903,0.0021115893,0.0,-0.009747371,0.06208597
1000.0,-55.77200535229593,0,25,81.07147216796875,25000,-1.8565902709960938,5.626992,0.0021064356,0.0,-0.009078369,0.015259861
1000.0,-55.44717479375274,1,26,82.64877772331238,26000,0.03242349624633789,5.6255794,0.0018123754,0.0,0.010269002,0.104746565
1000.0,-55.44717479375274,0,26,84.00832986831665,26000,0.41839003562927246,5.6262584,0.0016684023,0.0,0.007905827,0.009920474
