model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0.],[5],[32],[1],[32],[54.7017746]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[35.2974844]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0.],[15],[32],[2],[32],[77.61898375]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[62.84840035]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0.],[2],[32],[2],[32],[34.81138134]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0.],[5],[32],[2],[32],[32.0113256]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0.],[5],[32],[2],[32],[33.25146413]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0.],[5],[32],[2],[32],[21.957793]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[37.00055981]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0.],[5],[64],[2],[32],[39.41208959]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0.],[5],[32],[2],[20],[47.14361596]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[25.6437068]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[26.04326606]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0.],[5],[10],[2],[32],[68.94421506]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0.],[5],[32],[2],[64],[71.10226274]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0.],[5],[5],[2],[32],[112.67745876]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0.],[5],[32],[2],[32],[40.26470995]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0.],[10],[32],[2],[32],[52.48620057]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0.],[5],[32],[2],[32],[31.17681241]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0.],[5],[32],[2],[32],[23.11611366]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0.],[5],[32],[2],[32],[26.32474494]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0.],[5],[32],[2],[10],[38.0031302]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[40.51474595]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[39.45870495]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0.],[1],[32],[2],[32],[32.57230663]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0.],[5],[32],[3],[32],[47.098243]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0.],[5],[32],[2],[32],[33.26567698]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[31.14098477]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0.],[5],[32],[2],[32],[31.55004764]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0.],[5],[100],[2],[32],[43.40652061]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[44.09206104]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0.],[5],[32],[2],[32],[30.40467834]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[53.09713864]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0.],[5],[50],[2],[32],[41.00795102]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[40.76953506]
