model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0],[5],[32],[1],[32],[45.10971117]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[33.74235249]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0],[15],[32],[2],[32],[59.25228572]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[58.77673578]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0],[2],[32],[2],[32],[34.1051898]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0],[5],[32],[2],[32],[32.03906465]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0],[5],[32],[2],[32],[33.4674139]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0],[5],[32],[2],[32],[21.78525186]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.5],[5],[32],[2],[32],[36.8107152]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0],[5],[64],[2],[32],[40.72373891]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0],[5],[32],[2],[20],[50.89269876]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[21.87195015]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[25.33115387]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0],[5],[10],[2],[32],[68.15275812]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0],[5],[32],[2],[64],[69.8739481]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0],[5],[5],[2],[32],[115.11936259]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0],[5],[32],[2],[32],[39.39236712]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0],[10],[32],[2],[32],[54.80455828]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0],[5],[32],[2],[32],[31.08260083]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0],[5],[32],[2],[32],[23.12288046]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0],[5],[32],[2],[32],[26.07445955]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0],[5],[32],[2],[10],[39.60611963]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[39.20973253]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.9],[5],[32],[2],[32],[37.4505825]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0],[1],[32],[2],[32],[30.02503753]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0],[5],[32],[3],[32],[45.19931459]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0],[5],[32],[2],[32],[32.69633055]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[31.15968633]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0],[5],[32],[2],[32],[31.39391756]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0],[5],[100],[2],[32],[38.49818611]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[45.74050331]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0],[5],[32],[2],[32],[30.09799957]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[48.97159576]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0],[5],[50],[2],[32],[40.55492401]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.1],[5],[32],[2],[32],[39.55177021]
