model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0],[5],[32],[1],[32],[47.27358484]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[35.13357472]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0],[15],[32],[2],[32],[74.75002313]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[63.54821849]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0],[2],[32],[2],[32],[33.91939116]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0],[5],[32],[2],[32],[32.15869927]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0],[5],[32],[2],[32],[33.316154]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0],[5],[32],[2],[32],[22.05587149]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.5],[5],[32],[2],[32],[37.19873524]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0],[5],[64],[2],[32],[43.59144902]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0],[5],[32],[2],[20],[37.54904699]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[23.96466088]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[25.67002416]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0],[5],[10],[2],[32],[67.81199312]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0],[5],[32],[2],[64],[84.30675292]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0],[5],[5],[2],[32],[115.71082616]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0],[5],[32],[2],[32],[42.33476305]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0],[10],[32],[2],[32],[63.84354544]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0],[5],[32],[2],[32],[31.02397108]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0],[5],[32],[2],[32],[22.79796076]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0],[5],[32],[2],[32],[26.14206624]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0],[5],[32],[2],[10],[36.13400292]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[42.17788625]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.9],[5],[32],[2],[32],[38.37406683]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0],[1],[32],[2],[32],[31.69454503]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0],[5],[32],[3],[32],[44.39427423]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0],[5],[32],[2],[32],[32.5915494]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[30.97834516]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0],[5],[32],[2],[32],[31.50859976]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0],[5],[100],[2],[32],[34.1686306]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[49.88076377]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0],[5],[32],[2],[32],[30.12908792]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[50.3615489]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0],[5],[50],[2],[32],[42.66515613]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.1],[5],[32],[2],[32],[39.93240023]
